# Iso classes covered by N5Realizers.v dispatcher
# (count=58 of 61)
# Format: Class <id> | |E|=<count> | edges = ... | lemmas = [<names>]
Class   1 | |E|= 1 | edges = [(0, 1)] | lemmas = ['n5_one_edge_two_realizer (fall-through)']
Class   2 | |E|= 2 | edges = [(0, 1), (0, 2)] | lemmas = ['n5_V_plus_2isolated_two_realizer']
Class   3 | |E|= 2 | edges = [(0, 1), (2, 1)] | lemmas = ['n5_inv_V_plus_2isolated_two_realizer']
Class   4 | |E|= 2 | edges = [(0, 1), (2, 3)] | lemmas = ['n5_disjoint_chains_plus_isolated_two_realizer']
Class   5 | |E|= 3 | edges = [(0, 1), (0, 2), (0, 3)] | lemmas = ['n5_3claw_up_plus_isolated_two_realizer']
Class   6 | |E|= 3 | edges = [(0, 1), (0, 2), (1, 2)] | lemmas = ['n5_chain3_plus_2isolated_two_realizer']
Class   7 | |E|= 3 | edges = [(0, 1), (0, 2), (3, 1)] | lemmas = ['n5_N_plus_isolated_two_realizer', 'n5_inv_N_plus_isolated_two_realizer']
Class   8 | |E|= 3 | edges = [(0, 1), (0, 2), (3, 4)] | lemmas = ['n5_V_plus_chain_two_realizer']
Class   9 | |E|= 3 | edges = [(0, 1), (2, 1), (3, 1)] | lemmas = ['n5_3claw_down_plus_isolated_two_realizer']
Class  10 | |E|= 3 | edges = [(0, 1), (2, 1), (3, 4)] | lemmas = ['n5_inv_V_plus_chain_two_realizer']
Class  11 | |E|= 4 | edges = [(0, 1), (0, 2), (0, 3), (0, 4)] | lemmas = ['n5_4claw_up_two_realizer']
Class  12 | |E|= 4 | edges = [(0, 1), (0, 2), (0, 3), (1, 2)] | lemmas = ['n5_pendant_plus_isolated_two_realizer', 'n5_V_chain_one_leaf_plus_isolated_two_realizer']
Class  13 | |E|= 4 | edges = [(0, 1), (0, 2), (0, 3), (4, 1)] | lemmas = ['n5_3claw_up_pendant_at_one_leaf_two_realizer', 'n5_3claw_up_extra_parent_two_realizer']
Class  14 | |E|= 4 | edges = [(0, 1), (0, 2), (1, 2), (3, 2)] | lemmas = ['n5_chain3_top_pendant_plus_isolated_two_realizer', 'n5_inv_V_chain_one_leaf_plus_isolated_two_realizer']
Class  15 | |E|= 4 | edges = [(0, 1), (0, 2), (1, 2), (3, 4)] | lemmas = ['n5_disjoint_chain3_chain2_two_realizer']
Class  16 | |E|= 4 | edges = [(0, 1), (0, 2), (3, 1), (3, 2)] | lemmas = ['n5_bowtie_plus_isolated_two_realizer']
Class  17 | |E|= 4 | edges = [(0, 1), (0, 2), (3, 1), (3, 4)] | lemmas = ['n5_M_shape_two_realizer', 'n5_N_plus_top_pendant_on_left_two_realizer']
Class  18 | |E|= 4 | edges = [(0, 1), (0, 2), (3, 1), (4, 1)] | lemmas = ['n5_3claw_down_extra_leaf_two_realizer', 'n5_3claw_down_pendant_at_one_leaf_two_realizer', 'n5_K_3_2_minus_two_edges_two_realizer']
